question,category,answer
How do I log out of a BRAC University lab PC?,Tech,"To log out of a lab PC, click the Start Menu, select your profile icon, and click Sign Out."
Can I save files on the lab PCs?,Tech,"Files saved directly on lab PCs will typically be erased after restarting, as these computers are regularly wiped for security purposes. It’s recommended to save your work on a cloud storage service like Google Drive or an external USB drive."
What should I do if a lab PC is not working or is unresponsive?,Tech," If a lab PC is unresponsive or malfunctioning, inform the lab assistant immediately or contact IT support "
Is their any additional cloud storage available in g-suite? ,Tech,"In our efforts to improve the IT systems and services, we have introduced an additional 50 GB of Cloud Storage (separately) from May 2023. You can avail the additional cloud storage by clicking on the following link and Sign-up with your BRACU Email ID.

Sign-up here: https://signup.microsoft.com/signup?skug=Education&StepsData.Email=sdfsd%40bracu.ac.bd&sku=314c4481-f395-4525-be8b-2ec4bb1e9d91

Log-in here (after successful Sign-up): https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638199340170290669.MmQyNjVhZmQtMWZlOS00NmRkLTkzMTktNTk5MjNkZjAwMWYwZmE1OTM2Y2ItODY0YS00MTBlLWI3NjItZDNhMGJlZDI5Y2Yy&ui_locales=en-US&mkt=en-US&client-request-id=c7baf671-81f7-458e-927d-2938e687580c&st

Please reach out for any queries and support:

Student Helpdesk: https://bracu.atlassian.net/servicedesk/customer/portal/2"
How to fix the problem of Xiaomi phone Wi-Fi does not show issue fixing manual?,Tech,Step 1 and 2: https://drive.google.com/file/d/1uMQ4v7k5PI2B42uIn5XzXMfuQ5T_U2cz/view?usp=drive_link Step 3 and 4: https://drive.google.com/file/d/1jZ6E6FWCrhZsSxwz6Dhy04-5Ihoyrvo-/view?usp=drive_link
How to set up G-suite two step verification? ,Tech,"G-Suite 2-Step Verification

With the increase in cyber threats, protecting your account with just a password is no longer sufficient.  2-Step Verification (2SV) significantly reduces the risk of unauthorized access to your account. As part of our ongoing commitment to enhancing the security of our systems and protecting your information, we are implementing 2-Step Verification (2SV) for all accounts. Please set up 2-Step Verification by May 30, 2024. After this date, 2SV will be mandatory for all users, and you may experience disruptions in accessing your account if it is not configured. 

It is recommended to review and update your account recovery options (recovery phone number and email) to ensure you can regain access to your account if needed.

 

Steps to Set Up 2-Step Verification:

1. Log in to Your Email Account:

2. Go to Security Settings:

Click on your profile picture or initial at the top right corner of the screen.

Select ""Manage your Google Account.""

In the left-hand navigation panel, click on ""Security.""

Or, visit https://myaccount.google.com/u/0/security?hl=en&pli=1

3. Enable 2-Step Verification:

Scroll down to the ""Signing in to Google"" section.

Click on ""2-Step Verification"" and then click on ""Get Started.""

4. Follow the in drive Instructions: 

You will be prompted to verify your password again.

Google will guide you through the setup process. You may need your mobile device to receive verification codes.

5. Complete the Setup:

Follow the prompts to complete the setup.

Google may ask you to add a backup phone number or generate backup codes in case you lose access to your primary method.

 Please see the attached file for your assistance. If you have any questions or require assistance, please let us know at ithelpdesk.bracu.ac.bd."
How to get the Bracu WiFi?,Tech,"BRACU provides free access to Wi-Fi to students. To get this, a student must perform the following steps: https://drive.google.com/file/d/1_0UwdFZvw17enrYeiaBh7yHEEzjrxTGa/view?usp=drive_link"
How to create/resest Lab Computer Login ID and Password? ,Tech,"Lab Computer Login ID and Password (Create/ Reset Password)

Apply here to get computer login ID or reset a computer login password with the following information: https://bracu.atlassian.net/servicedesk/customer/portal/2/group/11/create/17

Full Name:

Student ID:

Department:

G Suite Email Address:

Contact Number:

Attachment for verification purposes:
    I) a scanned copy or photo of the current semester
    II) a scanned copy or photo of the Student ID card

Attachment for resetting the password:
I) an approved application (hard copy) by your DCO Sir/Mam (need to take the
signature/approval of him/her and then finally need to submit it to us as an attachment
to request to reset the password).

Previous Student ID (if any)

We provide the support on a first-come, first-served basis.


Note: We send a one-time password (OTP), which will work only the first time. After the
first login, the option for changing the password will appear automatically,
so reset the password yourself. Please be sincere by remembering or noting down
the password."
Where can I get degree completion form?,Policies,You can find them in your respective departments.
Do I need to submit degree completion form after completing all degree requirements?,Policies,"Yes, if you want to complete your degree then you have to complete all degree requirements."
Whats the procedure for changing my department?,Policies,Go to your respective department and ask for department change form.
What should I do if I lost my ID card?,Policies,"Go to the registers office on the 4th floor, they will give you an id card renewal form and all the other details."
I couldn't take my certificate on my convocation last year. Whats the procedure?,Policies,You can visit the registers office on the fourth floor for more details.
Whats the procedure for collecting my official gradesheet?,Policies,You can visit the registers office on the fourth floor for more details.
Whats the procedure to pay my fees in installment?,Policies,A form will be shared by gsuite if the facility is available for that particular semester and you can fill up the form and apply for installment payment.
How can I retake a course?,Policies,You just need to take the course during the advising.
What should I do if I miss my mid/final?,Policies,"You should inform your course instructor as soon as possible with a valid reason (such as medical emergencies). In some cases, you may need to provide documentation like medical certificates to appeal."
How should I apply for my thesis supervisor?,Policies,"Reach out to potential supervisors in your department based on your research interests. Send them a formal email expressing your interest and include your academic background, research proposal, and CV."
What should I do if I get on probation?,Policies,"If you're placed on probation (typically for a low CGPA), consult your academic advisor immediately to make a recovery plan. You may need to retake courses or improve your performance in subsequent terms."
whats the procedure for changing my section?,Policies,If you are already enrolled in a section then your request will be rejected by DCO due to the policies set by department.
Is there any cgpa cap in retake/repeat course?,Policies,"No, currently there is no cap in retake/repeat courses. But the latest grade will be counted."
How to complain for cyber harassment / bullying?,Policies,"Inform us about all online programming activities. It helps us to protect you from cybercrime or any kind of harassment. Submit a proposal by using online programming guidelines and receive official approval. Again, this allows for tracking and awareness if your activities encounter any challenges. Any kind of discrepancy please immediately contact at <student_org@bracu.ac.bd> (cyber harassment/bullying)"
What should I complete before applying for degree processing?,Policies,"Complete all required courses, projects, thesis, or internships for your respective degree completion."
Where can I collect the Degree Application Form?,Policies,Collect the form from your Department's DCO (Departmental Coordinator's Office).
What documents are required to submit with the application?,Policies,"Submit account clearance, library clearance, previous academic certificates, and course waiver information (if any) along with the filled-up application form."
What are the fees for degree processing and certificates?,Policies,"- Degree Processing Fee: BDT 10,000
- Provisional Certificate: BDT 1,000
- Emergency Provisional Certificate: BDT 2,500
- Degree Completion Letter: BDT 200"
How do I get registered for the convocation?,Policies,"After the Degree Application Form is approved, the student will automatically be registered for the upcoming convocation."
"What is the overall process for degree processing, provisional certificate, and convocation?",Policies,"Complete all academic requirements, submit the Degree Application Form with necessary clearances and documents, pay the required fees, and get registered for convocation."
What is the overall process for withdrawing or attesting academic letters?,Policies,"To withdraw or attest academic letters, fill up the Document Request Form (available at the Controller’s Office), pay the fees, take clearance from the Accounts Department, and submit the form along with any required documents to controller office level 2. The requested documents will be issued after three working days."
What is the overall process for withdrawing academic transcripts?,Policies,"What is the overall process for withdrawing academic transcripts?	To withdraw academic transcripts, fill up the Document Request Form (available at the Controller’s Office), pay the required fees at the BRACU booth/bank, and take clearance from the Accounts Department. Submit the completed form at Level 2). The transcript will be issued after three working days. For an emergency transcript, pay an additional fee of BDT 800 to receive it after one working day. For a sealed transcript, include the sealed envelope fee."
What is the process for claiming a gown refund?,Policies,"To claim a refund of Taka 3,000 for the convocation gown, return the gown and show the convocation money receipt at the time of submission. The refund must be claimed within 4 weeks from the date of the convocation ceremony; otherwise, the refund will be forfeited."
What types of accommodation are available at TARC?,RS,"They provide a room where each get a bed, study table and half almirah. Usually one room can accomodate 4 students. The room has a decent washroom. There are multiple common washroom in every floor"
What amenities and facilities are provided for students at TARC?,RS,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves."
Are there any recreational facilities available at TARC?,RS,"Recreational opportunities such as Football, Cricket, Badminton, Volleyball, Carrom, Chess, tabble tennis and cultural functions are available at TARC."
What academic resources are available at TARC for students?,RS,There is vast library in Tarc which holds a collection of huge number of books.Also there is a stationary shop where notebooks and other mecessary stuffs are sold
What types of extracurricular activities are organized at TARC?,RS,"TARC hosts weekly seminars in different social or global issues, it hosts sports competition in all possible sports. also many short courses such as language learning, web dev and many more"
Are there any special workshops or seminars conducted at TARC?,RS,
What dining facilities are available at TARC?,RS,"Tripti a three storied building is for dining. it provides Breakfast, Lunch dinner and also morning and evening snacks "
Are there provisions for students with special dietary needs?,RS,
How are meal plans managed at TARC?,RS,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively"
How are medical emergencies handled at TARC?,RS,Medical emergencies are handled very precisely in Tarc.There are some doctors always available in tarc .They provide the students basic medication and treatment and if things gets worse students are sent to their residence calling their guardian
What are the rules and regulations students must follow while at TARC?,RS, Students must maintain the time schedule for the meals.Nobody is provided meal after that particular time.Also nobody can roam in the campus after 10:00pm.
What are the consequences of violating TARC rules and regulations?,RS,"Violating rules and regulations can get one ousted from tarc.Eventually on severe violation the authority will call their parents and send them home.On minor violation,students are given  warning.Also after 3 warnings if they cannot bring changes in themselves their tarc will also be cancelled"
How is student attendance monitored at TARC?,RS,Attendance in class are strictly followed. You can't be absent in class without proper reasons 
What is the daily time schedule of Tarc?,RS,"Tarc starts at morning 7:00 am and ends at 10:00pm.Dorm gate closes at pm.Also 6-8 is the study hour.Nobody is allowed to be in the field during this period.They can be only in the library,their rooms or the classrooms doing group study"
Which courses students have to do in Tarc? Give their details.,RS,"Students have to complete BNG101,HUM101,EMB101 and ENG102/ENG101"
Is Tarc mandatory?,RS,Yes it is mandatory.
Is it possible to conduct tarc online? If yes give the details.,RS,Tarc is conducted online on special cases like if someone is sick or physically injured.Some students have severe medical conditions.They can conduct tarc online after contacting with register office and supervisors presenting necessary documents
How to do well in Tarc Courses? Explain every courses. ,RS,"If someone wants to do well in the tarc courses like eng102,emb101,bng101 and hum101 then the first thing they could do is to follow the bux video.All the subjects contain bux contents where all topics are elaborated.Next thing they can do is to note down everything that is taught in classes and focus on quizzes and assignments.BNG101 conducts only 1 quiz throughout the semester.So they should take it very seriously and have a good grasp in all topics that are included in syllabus because viva is conducted in EMB101 and BNG101.Next thing they could do is to choose a topic for presentations in Eng101 and Hum101 that they will confident about and have enough knowledge about it.And most importantly if they face any problems understanding anything they can take consultations from faculties and teaching assistants "
What are the sports opportunities in Tarc?,RS,"During my period i have seen students playing volleyball,basketball,football and cricket.Football, cricket and tennis tournaments are arranged and students also get jersey.These tournaments are celebrated among the students in a big manner"
Is it allowed to smoke cigarettes in Tarc?,RS,Yes but there is some restrictions. You cannot smoke inside the halls. There are specific smoking zones that you need to use. Also any kind of drugs are strictly prohibited
How to cancel Tarc?,RS,Valid reasons with all necessary information have to be submitted in the register office and also the signature of VC is necessary
How to apply to go to Tarc at next semester?,RS,"After the completion of 2nd semester if anybody have  cgpa above 2.5,then they will be applicable for tarc."
Is it possible to do Tarc courses at Badda/main campus?,RS,"No.Hum101,Bng101 and EMB101 are not available in Badda campus but yes one can do english 102,Because there are many students who complete english101 in residential campus"
Where is the DCO's office?,Campus,"DCO's office are always connected with the department. So, go to your department and find your DCO. "
Where is the CSE Department?,Campus,"The CSE Department is located on the 4th floor, with labs on the 10th, 11th, and 12th floors."
Where is the EEE Department?,Campus,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.
Where is the BBA Department?,Campus,The BRAC Business School (BBA Department) is on the 5th floor.
Where is the ENH Department?,Campus,The ENH Department is located on the 5th floor.
When will the rooftop open?,Campus,"The rooftop is already open, containing a Green Lawn, Gymnasium, and Yoga Zone (13th floor)."
Is there a gymnasium in Brac?,Campus,"Yes, on the 13th floor."
Where is the indoor game room located?,Campus,Indoor games are located in Multipurpouse Hall. 
Where are the clubrooms located?,Campus,Club activity rooms are located on the 6th floor.
Where's the information desk?,Campus,Information desk in located on 2nd floor. It is also called the Student Information Centre(SIC)
How many restrooms are there?,Campus,There are restrooms on each floor: 1st to 12th floors have male and female restrooms.
What's on the second floor?,Campus,"The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room."
Who designed the campus?,Campus,"WOHA Designs Pte Ltd., Singapore based world-renowned architectural firm has designed the BRAC University new campus."
Where is the multi-purpose hall?,Campus,The multi-purpose hall is located on the ground floor.
Which rooms are lecture theatres?,Campus,Lecture theatres are located on the 9th floor.
Where's the male prayer room?,Campus,The male prayer room is on the 6th floor (ZONE-H).
Where's the female prayer room?,Campus,The female prayer room is located on the ground floor near reception and also another one on 6th floor.(ZONE-H).
Where is the Entrepreneurship Center?,Campus,The Center of Entrepreneurship Development (CED) is on the 3rd floor.
Where is the Medical Centre?,Campus,The Medical Centre is located on the 1st floor.
Where are the BRAC Bank and ATMs?,Campus,ATM services are available on the ground and Brac Bank is on 1st floor/Level 1.
Where is the Cycle Garage located?,Campus,"Ground Floor, Gate no. 2 (Pocket Gate)"
What is checked at the Security Supervisor Office?,Campus,"Student ID Check, All workers In out"
Where can I find an ATM on campus?,Campus,"Ground Floor, Between manual barrier and lift lobby entries"
Where is the Central Control Room located?,Campus,"Ground Floor, Beside the Lift Lobby"
Where is the Reception located?,Campus,"Ground Floor, Between the Manual Barrier(1st escalator) and the lift lobby(2nd escalator). "
Where can I find the Prayer Room for females?,Campus,In front of the indoor (Multipurpose Hall) and also on 6th floor(ZONE-H). 
How do I access the Multipurpose Hall?,Campus,"Ground Floor, Find the lift lobby(2nd escalator); go straight to the West Side, where you will find some seats next to the Multipurpose Hall."
Where is the Generator Room located?,Campus,Behind the Multipurpose Hall
What food and beverage service is available on campus?,Campus,"Arabika Coffee is located on the Ground Floor and also you can have meal, snacks or bevarage from 6th floor Cafeteria."
Where are the fields for cricket and football located?,Campus,Ground Floor
Where can I find the Dressing Room for the two grounds?,Campus,Ground Floor
What facilities are available on the 1st Floor?,Campus,"Medical Center, Male Washroom, Female Washroom, Brac Bank, and Student Fee Collection Booth."
Where is the Office of Academic Advising located?,Campus,"3rd Floor, Level 3 Zone D (B3-03 Stair 08) – access through B3-03 Stair 09."
What services does the Center of Entrepreneurship Development (CED) offer?,Campus,"Located on the 3rd Floor/Level 3 (B3-03 Stair 08), the CED provides support for entrepreneurial activities."
What is the operating hour for Student Life services?,Campus,"2nd Floor, Service Hour from 9 AM to 5 PM."
What is located on the 4th Floor?,Campus,"Chancellery, Registry, Finance & Accounts, HR, Proctor's Office, BSRM School of Engineering, School of Data and Sciences, CSE, MNS, and School of Law."
What facilities are available on the 5th Floor?,Campus,"School of General Education, ENH, ESS, School of Pharmacy, MNS, School of Architecture and Design, BRAC Business School, and BRAC Institute of Languages."
Where can I find the Cafeteria?,Campus,6th Floor
What activities can be done on the Roof/13th Floor?,Campus,"Green Lawn, Gymnasium, Yoga Zone, Changing Room."
What can I find on the 14th Floor?,Campus,Jogging Track and Greenhouse.
Where are the Learning Labs and Classrooms located?,Campus,"Learning Labs/Classrooms are located on the 7th, 8th, 9th, 10th, 11th, and 12th Floors."
What is the function of the Security Supervisor Office?,Campus,To check student IDs and monitor the entry and exit of all workers.
What amenities are available in the Generator Room?,Campus,The Generator Room houses the backup power supply for the campus facilities.
Where is the nearest ATM from the reception?,Campus,"The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries."
How can I access the Prayer Room for females?,Campus,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)
What types of events can be held in the Multipurpose Hall?,Campus,"The Multipurpose Hall can be used for meetings, seminars, workshops, and social gatherings."
Where can I find the male and female washrooms on the 1st Floor?,Campus,Beside the lift lobby(2nd escalator)
What services does Brac Bank provide on campus?,Campus,"Brac Bank offers banking services, including cash withdrawals, deposits, and student fee collection."
Where can I collect my student fees?,Campus,The Student Fee Collection Booth is located on the 1st Floor at Brac Bank.
What is located adjacent to the Central Control Room?,Campus,The Central Control Room is located beside the Lift Lobby on the Ground Floor.
What activities are available at the Field (Cricket and Football)?,Campus,"The Field is available for cricket and football matches, practices, and recreational activities."
Where can guardians wait during their visits?,Campus,The Guardian Waiting Room is located on the Ground Floor.
What health services are available on the 1st Floor?,Campus,"The Medical Center provides health services, including consultations and emergency care."
What should I do if I want to access the Childcare Center?,Campus,The Childcare Center is located on the 2nd Floor (B3-03 Stair 08) and may have specific entry requirements.
What facilities are available for students at the Student Life Store?,Campus,"The Student Life Store offers various student supplies, merchandise, and campus-related items."
What kind of counseling services does the Counseling Unit provide?,Campus,"The Counseling Unit offers mental health support, guidance, and workshops for students. Visti: https://www.bracu.ac.bd/campus-life/student-affairs/counseling-unit/counseling-team"
Where can I find the Auditorium Upper Gallery?,Campus,The Auditorium Upper Gallery is located on the 1st Floor.
What is the role of the Office of Academic Advising?,Campus,"The Office of Academic Advising provides academic support, course selection, and guidance for the first year students."
What unique features does the 3rd Floor have?,Campus,"The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services."
How do I access the Learning Labs/Classrooms?,Campus,"Learning Labs/Classrooms are located on multiple floors (7th to 12th), and access is usually through designated staircases or elevators."
Where can I find social interaction spaces on campus?,Campus,"Social interaction spaces are located on the 6th, 7th, 8th, 9th, and 10th Floors."
What facilities are available on the 12th Floor?,Campus,"The 12th Floor includes Learning Labs/Classrooms, EEE/ECE Labs, CSE/CS Labs, MNS Labs, and Social Interaction Spaces."
Where can I practice yoga on campus?,Campus,The Yoga Zone is located on the Roof/13th Floor.
Where can I find changing rooms for gym users?,Campus,Changing Rooms are located in the Gymnasium area on the Roof/13th Floor.
What is the function of the Proctor's Office?,Campus,The Proctor's Office oversees academic integrity and student conduct during examinations.
What are the operating hours for the Cafeteria?,Campus,"The operating hours may vary; typically, the Cafeteria is open during regular campus hours for meals and snacks."
What types of events can be held in the Chancellery?,Campus,"The Chancellery can host formal events, ceremonies, and administrative meetings."
What services are offered by the Finance & Accounts Office?,Campus,"The Finance & Accounts Office manages student accounts, tuition payments, and financial aid. You can also email at queries-accounts@bracu.ac.bd"
Where can students participate in clubs and activities?,Campus,Club Activity Rooms are located on the 6th Floor.
What types of laboratories are available on the 11th Floor?,Campus,"The 11th Floor houses Pharmacy Labs, EEE/ECE Labs, CSE/CE Labs, MNS Labs, and Social Interaction Spaces."
How can students utilize the Gymnasium?,Campus,"The Gymnasium on the Roof/13th Floor is available for physical fitness activities, workouts, and sports."
What can I find in the Greenhouse on the 14th Floor?,Campus,The Greenhouse may house various plant species for educational purposes and research.
Where can I find lecture theaters on campus?,Campus,Lecture Theaters are located on the 9th Floor.
What should I know about the Student Life services?,Campus,"Student Life services support student engagement, activities, and personal development and are located on the 2nd Floor."
What kind of activities can I do at the Social Interaction Space?,Campus,"The Social Interaction Spaces provide areas for students to gather, collaborate on projects, or relax."
Where can I find the Arabika Coffee shop?,Campus,Arabika Coffee is located on the Ground Floor.
How do I get to the Library?,Campus,"The Library is located on the 8th Floor, accessible via elevators or stairs."
Where are the CSE Labs located?,Campus,"CSE Labs are located on the 8th, 9th, 10th, 11th and 12th Floor."
What support does the Center of Entrepreneurship Development (CED) provide?,Campus,"
The Center for Entrepreneurship Development (CED) at BRAC University supports students and alumni in developing entrepreneurial skills and launching their own ventures. It offers various services, including:
Training and mentorship programs for aspiring entrepreneurs.
Workshops and seminars on business development and innovation.
Networking opportunities with industry professionals.
Resources and guidance for business planning and startup funding.
CED aims to foster a culture of entrepreneurship and innovation within the university community, providing both theoretical knowledge and practical experience to help students succeed in their entrepreneurial endeavors.Visit more for details: https://ced.bracu.ac.bd/"
How do I contact the Counseling Unit?,Campus,Students can usually contact the Counseling Unit through the Student Life Office or directly at their location on the 3rd Floor.
Where is male washroom?,Campus,There are male washrooms in every floor from ground to 12th floor. 
Where is female washroom?,Campus,There are female washrooms in every floor from ground to 12th floor. 
Where is the CSE/CS department's printing lab? ,Campus,The CSE/CS department's printing lab is on 11A-4L.
Where is EEE department's printing Lab?,Campus,The EEE Department's printing lab is on 12B-17L
What types of extracurricular activities are available at the university?,Curriculum,"Our university offers a diverse range of extracurricular activities, including student-run clubs (e.g., debate, photography), sports teams, and fitness classes. You can also join cultural and artistic groups, volunteer in community service projects, and participate in leadership programs. Academic competitions, like hackathons and research challenges, are also available to help you grow and connect with peers."
How can I join a club or organization?,Curriculum,"Here is the club membership registration form, you can just click here https://www.bracu.ac.bd/club-registration-form and join your desired club"
Can I start my own club? What is the process?,Curriculum,"Of course you can start your own club. Here is some information to get started: At least 75 student members and 1 advisor [from BRACU faculty] are needed to start a
club. An application to the director, co-curricular activities with goals, objectives, program calendar and mode of operation, signed by the advisor/ co-advisor[s] should be submitted by the applicants intending to open the club. For more details , go to: https://www.bracu.ac.bd/sites/default/files/Proctor_office/bu_disciplinary_policies/8.%20OCA%20Guidelines.pdf "
Are there any costs associated with joining clubs or sports teams?,Curriculum,No there no costs associated with joining clubs or sports teams.
What sports teams does the university have?,Curriculum,Brac University Football club
Are there intramural sports available?,Curriculum,"The Multipurpose Hall now provides a wide range of indoor sports, including table tennis, badminton, basketball, carom, with plans for further additions."
where can i play indoor games at the university?,Curriculum,The Multipurpose Hall
How can I stay updated on upcoming games and events?,Curriculum,You can go to this page for detailed updates : https://www.bracu.ac.bd/news-events/upcoming-events
How can I find out more about specific clubs?,Curriculum,You can visit this page for details: https://www.bracu.ac.bd/campus-life/office-co-curricular-activities/list-brac-university-clubsocietyforum
What opportunities are there for students interested in music or dance?,Curriculum,"There are 2 clubs to visit if you're interested in music or dance: BRAC University Cultural Club (BUCuC) has been representing the traditional as well as the modern end of culture since its very inception. BUCuC’s basic aim is to provide expedient platforms for the various kinds of talent that revolve around performing arts and creative/visual arts (e.g. musicians, dancers, writers, reciters, anchors, set designers, graphic designers, etc.) to enhance their rich cultural presence in BRAC University and beyond. Every semester BUCuC rocks the floor with innovative shows and splendid performances by the in-house members as well as by inviting distinguished celebrity guest performers.
Contact: club.bucuc@g.bracu.ac.bd                                                                                                                                                                                                                                                                                                                         BRAC University MONON, the only nontraditional art-based club, nurtures young minds so that they can be motivated and influenced by anomalistic artistry and grow the talent to pursue their passion in the field of unconventional arts. Moreover, they encourage, motivate, and influence young enthusiasts to spread happiness and participate in social work such as voluntary charity campaigns to help themselves develop and emphasize their interest by working closely along with society. 
Contact: club.bumonon@g.bracu.ac.bd"
Are there writing or literary clubs available?,Curriculum,"BRAC University Cultural Club (BUCuC) has been representing the traditional as well as the modern end of culture since its very inception. BUCuC’s basic aim is to provide expedient platforms for the various kinds of talent that revolve around performing arts and creative/visual arts (e.g. musicians, dancers, writers, reciters, anchors, set designers, graphic designers, etc.) to enhance their rich cultural presence in BRAC University and beyond. Every semester BUCuC rocks the floor with innovative shows and splendid performances by the in-house members as well as by inviting distinguished celebrity guest performers.

Contact: club.bucuc@g.bracu.ac.bd"
What opportunities are there for student leadership in volunteer organizations?,Curriculum,"BRAC University Leadership Development Forum (BULDF) is a club working on training and grooming leadership traits. The club mainly focuses on young students in enhancing their leadership qualities and bringing out their hidden talents, which will help them in the future. The club has always been there for assisting the official events and programs of BRAC University as volunteers besides its own activities, which mainly include Accession, Love for Humanity, and Saving Tomorrow.

Contact: club.buldf@g.bracu.ac.bd"
Are there any mentorship programs available?,Curriculum,"Yes, Brac University offers an extensive program of First Year Advising Team (FYAT) for all undergraduate students during their first year. In FYAT program under Office of Academic Advising (OAA), each new student is assigned to a FYAT Group. Each Group is led by a Faculty Adviser and Peer Mentor."
How can I balance extracurricular activities with my academic workload?,Curriculum,"Balancing extracurricular activities with academics requires good time management and prioritization. Start by creating a schedule that includes study sessions, classes, and time for activities. Prioritize important deadlines and ensure that your academic commitments come first. Limit the number of activities to a manageable amount, and don't hesitate to take breaks when needed. Use your extracurriculars to relieve stress and enhance skills, but always stay aware of your academic responsibilities. If you feel overwhelmed, seek support from advisors or peers to adjust your workload"
Are there any professional or academic clubs related to my major?,Curriculum,What is your major?
How to book a room for seminar?,Curriculum,You can visit this link to book a room: https://www.bracu.ac.bd/sites/default/files/OCA/Copy%20of%20Room%20Booking%20Formate.pdf
How to Apply to Organize Online club events?,Curriculum,"Student Organizations (clubs/societies) may organize online events:

1. Clubs/Societies will plan student activities on online platforms

2. The official time of the programs will be: a. 11 am to 9 pm

3. Must submit the proposal by email before 10 working days of the event to student_org@bracu.ac.bd and cc to <club advisor/co-advisor>

4. In the proposal, club must provide the following information:

• Specific Topic or Objective
• Online Platform (Facebook, Instagram other apps)
• Privacy (Public or Private)
• Recording Consent/Acknowledgement
• Have a Designated Moderator
• Time and Date / Length of Program
• Detail about activities
• Provide one contact number for emergency communication
• Mention if need any budget/sponsorship is applicable"
What is the budget for online programming?,Curriculum,"Event Budget must be pre-approved by the OCA. All documents submitted must be authentic and accurate.

• Submitted all relevant documents including but not limited to receipts, forms, and screenshots - electronically (scanned copies) at student_org@bracu.ac.bd

• Bank Account details for transfer of funds. If you do not have a bank account, then reimbursement will occur if the university re-opens in person. Any kind of mobile banking is not allowed.

• All hard copies must be retained and submitted once the university re-opens in person. It is a mandatory process. So, keep your expenditure copies properly. Failing to submit appropriate bills will result in non-disbursement fund or restrictions on future funding."
How to get Logistic Support?,Curriculum,"•OCA will provide logistic support (Sound, light, banner, decoration material) from Brac University Procurement.

•Brac University Procurement has a set of Logistic facility lists; the club must choose the facility from the list. OCA will do requisition to procurement for purchase.

•Club must confirm the needed logistic (Sound, light, banner) to OCA in detail, 7 working days before the event.

•Posters will be printed from the OCA office.

•Projector-Screen will also be provided from the OCA office."
How to arrange Food/Refreshment for any event? ,Curriculum,"1. For ordering refreshments, Brac University cafeteria authorities are expected to get the order after confirmation by the OCA. Bills of Brac University Cafeteria for refreshments must not be paid in cash. Payment will be made by the Accounts office, BRACU from the club/ forum budget upon approval from OCA.

2. Also, Financial assistance will be provided as per the approved budget to the club advisor’s bank account for refreshment purposes from an outside vendor."
"
How to Apply for Organize New Event?",Curriculum,Submit the Event proposal with the advisor’s approval. The proposal must contain detailed information on the event plan and budget. Email the proposal to <student_org@bracu.ac.bd> and cc the club advisor.
"
How to Get Certificate From Club Activities",Curriculum,"Please email with detail Name, ID, Timeframe, and Club Name to <student_org@bracu.ac.bd>
"
What is process of joining New Club?,Curriculum,"It is mandatory for a BRACU student to enroll in at least one student activity club/forum of her/his choice. A student can become a member of a maximum of two clubs at a time. OCA will arrange recruitment sessions (club fair, orientation) for new students or email individual club g suit accounts."
"
How to do event Budget and submit bill?",Curriculum,"Within 48 hours of the event, the Executive Committee of a club/forum should submit the expense details with advisor’s signature along with all receipts/vouchers to the OCA. They also need to submit a report and photographs of the event along with the bills."
